workload_id,run_id,spec_path,source_gpu_count,gpu_label,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,gpu_memory_peak_mib_peak_200s,gpu_memory_peak_mib_peak_full,gputl_max_200s,gputl_max_full,gputl_mean_200s,gputl_mean_full,gputl_median_200s,gputl_median_full,horus_oracle_util_full,horus_profile_util_200s,horus_oracle_util_median_full,horus_profile_util_median_200s,horus_oracle_util_max_full,horus_profile_util_max_200s,horus_oracle_memory_full_mib,horus_profile_memory_200s_mib,horus_oracle_util_source,horus_abs_error_200s_vs_full_util,horus_relative_error_200s_vs_full_util
resnet34_cifar100_bs128_20e_1gpu,2026-05-01_07-35-57_67ce5665,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_20e_1gpu.yaml,1,single,188.74,192.12,0,1074.0,0.1419,1076.0,1076.0,65.0,65.0,36.4765625,36.4765625,38.0,38.0,36.4765625,36.4765625,38.0,38.0,65.0,65.0,1076.0,1076.0,gputl_mean_full,0.0,0.0
resnet34_cifar100_bs128_50e_1gpu,2026-05-01_07-39-14_9b62aa8c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_50e_1gpu.yaml,1,single,483.65,487.07,0,1074.0,0.1419,1076.0,1076.0,57.0,70.0,39.08888888888889,37.612307692307695,40.0,38.0,37.612307692307695,39.08888888888889,38.0,40.0,70.0,57.0,1076.0,1076.0,gputl_mean_full,1.4765811965811935,0.03925792611983703
resnet34_cifar100_bs32_20e_1gpu,2026-05-01_07-47-27_b77f0300,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs32_20e_1gpu.yaml,1,single,743.21,746.49,0,1002.0,0.0921,1004.0,1004.0,43.0,44.0,36.75757575757576,36.79550102249489,38.0,38.0,36.79550102249489,36.75757575757576,38.0,38.0,44.0,43.0,1004.0,1004.0,gputl_mean_full,0.03792526491913151,0.0010307038595817988
resnet34_cifar100_bs32_50e_1gpu,2026-05-01_07-59-59_0fe794d3,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs32_50e_1gpu.yaml,1,single,1921.1,1924.56,0,1002.0,0.0921,1004.0,1004.0,48.0,71.0,36.49242424242424,36.903174603174605,38.0,38.0,36.903174603174605,36.49242424242424,38.0,38.0,71.0,48.0,1004.0,1004.0,gputl_mean_full,0.4107503607503631,0.011130488505859553
resnet34_cifar100_bs64_20e_1gpu,2026-05-01_08-32-08_973a2d99,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs64_20e_1gpu.yaml,1,single,370.15,373.51,0,1016.0,0.1082,1018.0,1018.0,74.0,74.0,36.30827067669173,36.11336032388664,38.0,38.0,36.11336032388664,36.30827067669173,38.0,38.0,74.0,74.0,1018.0,1018.0,gputl_mean_full,0.1949103528050884,0.005397181294042246
resnet34_cifar100_bs64_50e_1gpu,2026-05-01_08-38-27_f49c74be,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs64_50e_1gpu.yaml,1,single,1002.53,1005.9,0,1016.0,0.1082,1018.0,1018.0,64.0,72.0,34.54135338345865,36.05680119581465,38.0,38.0,36.05680119581465,34.54135338345865,38.0,38.0,72.0,64.0,1018.0,1018.0,gputl_mean_full,1.5154478123560011,0.04202945802446583
resnet50_imagenet_bs128_1gpu,2026-05-01_08-55-19_6c435383,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,1,single,1866.64,1870.75,0,13236.0,10.416,13238.0,13238.0,86.0,86.0,82.97744360902256,80.36510500807755,85.0,84.0,80.36510500807755,82.97744360902256,84.0,85.0,86.0,86.0,13238.0,13238.0,gputl_mean_full,2.6123386009450087,0.032505881759035106
resnet50_imagenet_bs32_1gpu,2026-05-01_09-26-35_d06673fa,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,1,single,2087.6,2091.71,0,3934.0,2.6099,3944.0,3944.0,82.0,82.0,77.42537313432835,78.29785714285714,81.0,80.0,78.29785714285714,77.42537313432835,80.0,81.0,82.0,82.0,3944.0,3944.0,gputl_mean_full,0.8724840085287866,0.011143140315282313
resnet50_imagenet_bs64_1gpu,2026-05-01_10-01-33_6458f79c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,1,single,1946.88,1951.05,0,7106.0,5.2119,7118.0,7118.0,84.0,84.0,77.74436090225564,78.90292758089369,82.0,82.0,78.90292758089369,77.74436090225564,82.0,82.0,84.0,84.0,7118.0,7118.0,gputl_mean_full,1.1585666786380528,0.014683443493909081
unet_voc_1gpu,2026-05-01_10-34-10_3eeb5b93,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,1,single,1878.16,1880.22,0,9910.0,3.3243,5636.0,5636.0,100.0,100.0,84.20149253731343,88.19825535289453,99.0,99.0,88.19825535289453,84.20149253731343,99.0,99.0,100.0,100.0,5636.0,5636.0,gputl_mean_full,3.996762815581107,0.04531566752187394
vgg16_imagenet_bs128_1gpu,2026-05-01_18-44-19_d39016c2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,1,single,2668.29,2673.42,0,21864.0,9.6625,21668.0,21668.0,100.0,100.0,82.75187969924812,86.1970802919708,84.0,84.0,86.1970802919708,82.75187969924812,84.0,84.0,100.0,100.0,21668.0,21668.0,gputl_mean_full,3.445200592722685,0.039968878076298404
vgg16_imagenet_bs32_1gpu,2026-05-01_17-03-19_86ae23e6,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs32_1gpu.yaml,1,single,3032.79,3038.08,0,6684.0,3.0482,6680.0,6680.0,91.0,92.0,86.13432835820896,86.15906838453915,86.0,86.0,86.15906838453915,86.13432835820896,86.0,86.0,92.0,91.0,6680.0,6680.0,gputl_mean_full,0.024740026330192677,0.000287143614642799
vgg16_imagenet_bs64_1gpu,2026-05-01_17-57-24_8fde35fb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs64_1gpu.yaml,1,single,2803.88,2809.21,0,11760.0,5.253,11776.0,11776.0,92.0,92.0,82.70676691729324,85.89031567683253,87.0,87.0,85.89031567683253,82.70676691729324,87.0,87.0,92.0,92.0,11776.0,11776.0,gputl_mean_full,3.183548759539292,0.037065281859221304
xception_imagenet_bs128_1gpu,2026-05-01_11-05-43_1dc25a83,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,1,single,2853.57,2857.58,0,21236.0,16.2518,21004.0,21004.0,100.0,100.0,87.3955223880597,86.73042564372044,85.0,84.0,86.73042564372044,87.3955223880597,84.0,85.0,100.0,100.0,21004.0,21004.0,gputl_mean_full,0.6650967443392659,0.007668551600004987
xception_imagenet_bs32_1gpu,2026-05-01_11-53-26_abdd42a1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs32_1gpu.yaml,1,single,2995.01,2999.0,0,5918.0,4.0688,5922.0,5922.0,90.0,91.0,82.3955223880597,84.949177877429,86.0,85.0,84.949177877429,82.3955223880597,85.0,86.0,91.0,90.0,5922.0,5922.0,gputl_mean_full,2.553655489369291,0.03006097943706878
xception_imagenet_bs64_1gpu,2026-05-01_12-43-31_31c73ab6,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,1,single,2941.99,2945.98,0,11106.0,8.1298,10978.0,10978.0,92.0,92.0,86.59701492537313,85.9587366276108,89.0,88.0,85.9587366276108,86.59701492537313,88.0,89.0,92.0,92.0,10978.0,10978.0,gputl_mean_full,0.6382782977623265,0.007425403429641672
xlnet_base_cased_wiki_bs8_2gpu,2026-05-03_23-54-28_a28ba9ef,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_base_cased_wiki_bs8_2gpu.yaml,2,gpu_a,3503.4,3516.79,0,9192.0,4.3858,8890.0,8988.0,100.0,100.0,90.82513661202186,92.16155291170944,93.0,93.0,92.16155291170944,90.82513661202186,93.0,93.0,100.0,100.0,8988.0,8890.0,gputl_mean_full,1.3364162996875706,0.01450080057752341
xlnet_base_cased_wiki_bs8_2gpu,2026-05-03_23-54-28_a28ba9ef,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_base_cased_wiki_bs8_2gpu.yaml,2,gpu_b,3503.4,3516.79,0,9192.0,4.3858,428.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,428.0,gputl_mean_full,0.0,
