workload_id,run_id,spec_path,source_gpu_count,gpu_label,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,gpu_memory_peak_mib_peak_200s,gpu_memory_peak_mib_peak_full,gputl_max_200s,gputl_max_full,gputl_mean_200s,gputl_mean_full,gputl_median_200s,gputl_median_full,horus_oracle_util_full,horus_profile_util_200s,horus_oracle_util_median_full,horus_profile_util_median_200s,horus_oracle_util_max_full,horus_profile_util_max_200s,horus_oracle_memory_full_mib,horus_profile_memory_200s_mib,horus_oracle_util_source,horus_abs_error_200s_vs_full_util,horus_relative_error_200s_vs_full_util
mobilenet_cifar100_bs32_50e_1gpu,2026-05-01_04-30-03_5aebaa38,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs32_50e_1gpu.yaml,1,single,2038.8,2042.09,0,590.0,0.0148,592.0,592.0,44.0,44.0,28.9,28.380772142316427,33.0,30.0,28.380772142316427,28.9,30.0,33.0,44.0,44.0,592.0,592.0,gputl_mean_full,0.5192278576835712,0.01829505748046191
mobilenet_cifar100_bs64_20e_1gpu,2026-05-01_05-04-11_a5c47ecb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_20e_1gpu.yaml,1,single,414.75,418.09,0,598.0,0.0253,602.0,602.0,46.0,46.0,29.76923076923077,29.686131386861312,27.0,27.0,29.686131386861312,29.76923076923077,27.0,27.0,46.0,46.0,602.0,602.0,gputl_mean_full,0.08309938236945769,0.0027992661383367846
mobilenet_cifar100_bs64_50e_1gpu,2026-05-01_05-11-15_2f594179,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_50e_1gpu.yaml,1,single,966.53,969.78,0,598.0,0.0253,602.0,602.0,47.0,48.0,28.523076923076925,31.73217115689382,26.0,36.0,31.73217115689382,28.523076923076925,36.0,26.0,48.0,47.0,602.0,602.0,gputl_mean_full,3.209094233816895,0.1011306228606333
mobilenet_imagenet_bs128_1gpu,2026-05-01_05-27-30_eff95151,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,1,single,1548.6,1552.79,0,11336.0,9.4591,11598.0,11602.0,86.0,86.0,61.83703703703704,63.96848137535817,69.0,70.0,63.96848137535817,61.83703703703704,70.0,69.0,86.0,86.0,11602.0,11598.0,gputl_mean_full,2.131444338321124,0.033320227282153295
mobilenet_imagenet_bs32_1gpu,2026-05-01_05-53-28_be74790b,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,1,single,1666.15,1670.26,0,3352.0,2.3684,3354.0,3356.0,100.0,100.0,63.614814814814814,63.32859680284192,66.0,65.0,63.32859680284192,63.614814814814814,65.0,66.0,100.0,100.0,3356.0,3354.0,gputl_mean_full,0.2862180119728919,0.004519569774520057
mobilenet_imagenet_bs64_1gpu,2026-05-01_06-21-24_05adeecb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs64_1gpu.yaml,1,single,1536.12,1540.34,0,6032.0,4.732,6162.0,6164.0,79.0,79.0,64.27407407407408,65.65703275529866,73.0,73.0,65.65703275529866,64.27407407407408,73.0,73.0,79.0,79.0,6164.0,6162.0,gputl_mean_full,1.3829586812245793,0.021063374678822532
resnet18_cifar100_bs128_20e_1gpu,2026-05-01_06-47-09_276041f2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs128_20e_1gpu.yaml,1,single,124.92,128.09,0,858.0,0.0911,852.0,852.0,49.0,49.0,32.422222222222224,32.422222222222224,38.0,38.0,32.422222222222224,32.422222222222224,38.0,38.0,49.0,49.0,852.0,852.0,gputl_mean_full,0.0,0.0
resnet18_cifar100_bs128_50e_1gpu,2026-05-01_06-49-23_0a98d914,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs128_50e_1gpu.yaml,1,single,303.77,306.79,0,858.0,0.0911,852.0,852.0,54.0,56.0,33.94814814814815,34.81428571428572,38.0,39.0,34.81428571428572,33.94814814814815,39.0,38.0,56.0,54.0,852.0,852.0,gputl_mean_full,0.8661375661375672,0.02487879755011477
resnet18_cifar100_bs32_20e_1gpu,2026-05-01_06-54-35_a2b2e9d4,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_20e_1gpu.yaml,1,single,460.29,463.31,0,788.0,0.0527,790.0,790.0,55.0,61.0,34.97727272727273,35.71661237785016,38.0,38.0,35.71661237785016,34.97727272727273,38.0,38.0,61.0,55.0,790.0,790.0,gputl_mean_full,0.7393396505774348,0.02070016167143388
resnet18_cifar100_bs32_50e_1gpu,2026-05-01_07-02-24_fabbfa65,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,1,single,1147.33,1150.33,0,788.0,0.0527,790.0,790.0,60.0,60.0,34.70454545454545,36.031662269129285,38.0,38.0,36.031662269129285,34.70454545454545,38.0,38.0,60.0,60.0,790.0,790.0,gputl_mean_full,1.3271168145838317,0.036831961974756314
resnet18_cifar100_bs64_20e_1gpu,2026-05-01_07-21-40_dc196945,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs64_20e_1gpu.yaml,1,single,239.16,242.17,0,796.0,0.0652,798.0,798.0,60.0,60.0,33.285714285714285,33.68292682926829,36.0,37.0,33.68292682926829,33.285714285714285,37.0,36.0,60.0,60.0,798.0,798.0,gputl_mean_full,0.39721254355400504,0.011792696803558442
resnet18_cifar100_bs64_50e_1gpu,2026-05-01_07-25-48_cbc5774e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs64_50e_1gpu.yaml,1,single,600.67,603.72,0,796.0,0.0652,798.0,798.0,46.0,59.0,33.443609022556394,34.00496277915633,36.0,37.0,34.00496277915633,33.443609022556394,37.0,36.0,59.0,46.0,798.0,798.0,gputl_mean_full,0.5613537565999351,0.016507995031361196
resnet34_cifar100_bs128_20e_1gpu,2026-05-01_07-35-57_67ce5665,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_20e_1gpu.yaml,1,single,188.74,192.12,0,1074.0,0.1419,1076.0,1076.0,65.0,65.0,35.10526315789474,35.10526315789474,38.0,38.0,35.10526315789474,35.10526315789474,38.0,38.0,65.0,65.0,1076.0,1076.0,gputl_mean_full,0.0,0.0
resnet34_cifar100_bs128_50e_1gpu,2026-05-01_07-39-14_9b62aa8c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs128_50e_1gpu.yaml,1,single,483.65,487.07,0,1074.0,0.1419,1076.0,1076.0,57.0,70.0,37.43283582089552,37.04242424242424,39.0,38.0,37.04242424242424,37.43283582089552,38.0,39.0,70.0,57.0,1076.0,1076.0,gputl_mean_full,0.39041157847128005,0.010539579588966168
resnet34_cifar100_bs32_20e_1gpu,2026-05-01_07-47-27_b77f0300,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs32_20e_1gpu.yaml,1,single,743.21,746.49,0,1002.0,0.0921,1004.0,1004.0,43.0,44.0,35.34848484848485,36.42307692307692,38.0,38.0,36.42307692307692,35.34848484848485,38.0,38.0,44.0,43.0,1004.0,1004.0,gputl_mean_full,1.0745920745920685,0.029503055902210966
resnet34_cifar100_bs32_50e_1gpu,2026-05-01_07-59-59_0fe794d3,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs32_50e_1gpu.yaml,1,single,1921.1,1924.56,0,1002.0,0.0921,1004.0,1004.0,48.0,71.0,35.0,36.757312252964425,38.0,38.0,36.757312252964425,35.0,38.0,38.0,71.0,48.0,1004.0,1004.0,gputl_mean_full,1.7573122529644252,0.04780850789281255
resnet34_cifar100_bs64_20e_1gpu,2026-05-01_08-32-08_973a2d99,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs64_20e_1gpu.yaml,1,single,370.15,373.51,0,1016.0,0.1082,1018.0,1018.0,74.0,74.0,34.87218045112782,35.3968253968254,38.0,38.0,35.3968253968254,34.87218045112782,38.0,38.0,74.0,74.0,1018.0,1018.0,gputl_mean_full,0.524644945697581,0.014821807882936145
resnet34_cifar100_bs64_50e_1gpu,2026-05-01_08-38-27_f49c74be,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs64_50e_1gpu.yaml,1,single,1002.53,1005.9,0,1016.0,0.1082,1018.0,1018.0,64.0,72.0,34.54135338345865,36.05680119581465,38.0,38.0,36.05680119581465,34.54135338345865,38.0,38.0,72.0,64.0,1018.0,1018.0,gputl_mean_full,1.5154478123560011,0.04202945802446583
resnet50_imagenet_bs128_1gpu,2026-05-01_08-55-19_6c435383,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs128_1gpu.yaml,1,single,1866.64,1870.75,0,13236.0,10.416,13238.0,13238.0,86.0,86.0,79.796992481203,80.04183427192277,84.0,84.0,80.04183427192277,79.796992481203,84.0,84.0,86.0,86.0,13238.0,13238.0,gputl_mean_full,0.24484179071976087,0.0030589227864015476
resnet50_imagenet_bs32_1gpu,2026-05-01_09-26-35_d06673fa,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,1,single,2087.6,2091.71,0,3934.0,2.6099,3944.0,3944.0,82.0,82.0,77.42537313432835,78.29785714285714,81.0,80.0,78.29785714285714,77.42537313432835,80.0,81.0,82.0,82.0,3944.0,3944.0,gputl_mean_full,0.8724840085287866,0.011143140315282313
resnet50_imagenet_bs64_1gpu,2026-05-01_10-01-33_6458f79c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs64_1gpu.yaml,1,single,1946.88,1951.05,0,7106.0,5.2119,7118.0,7118.0,84.0,84.0,77.74436090225564,78.90292758089369,82.0,82.0,78.90292758089369,77.74436090225564,82.0,82.0,84.0,84.0,7118.0,7118.0,gputl_mean_full,1.1585666786380528,0.014683443493909081
unet_voc_1gpu,2026-05-01_10-34-10_3eeb5b93,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/unet_voc_1gpu.yaml,1,single,1878.16,1880.22,0,9910.0,3.3243,5636.0,5636.0,100.0,100.0,84.20149253731343,88.19825535289453,99.0,99.0,88.19825535289453,84.20149253731343,99.0,99.0,100.0,100.0,5636.0,5636.0,gputl_mean_full,3.996762815581107,0.04531566752187394
vgg16_imagenet_bs128_1gpu,2026-05-01_18-44-19_d39016c2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs128_1gpu.yaml,1,single,2668.29,2673.42,0,21864.0,9.6625,21668.0,21668.0,100.0,100.0,82.75187969924812,86.1970802919708,84.0,84.0,86.1970802919708,82.75187969924812,84.0,84.0,100.0,100.0,21668.0,21668.0,gputl_mean_full,3.445200592722685,0.039968878076298404
vgg16_imagenet_bs32_1gpu,2026-05-01_17-03-19_86ae23e6,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs32_1gpu.yaml,1,single,3032.79,3038.08,0,6684.0,3.0482,6680.0,6680.0,91.0,92.0,82.21052631578948,85.90365612648222,86.0,86.0,85.90365612648222,82.21052631578948,86.0,86.0,92.0,91.0,6680.0,6680.0,gputl_mean_full,3.6931298106927386,0.0429915323424078
vgg16_imagenet_bs64_1gpu,2026-05-01_17-57-24_8fde35fb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs64_1gpu.yaml,1,single,2803.88,2809.21,0,11760.0,5.253,11776.0,11776.0,92.0,92.0,82.70676691729324,85.89031567683253,87.0,87.0,85.89031567683253,82.70676691729324,87.0,87.0,92.0,92.0,11776.0,11776.0,gputl_mean_full,3.183548759539292,0.037065281859221304
xception_imagenet_bs128_1gpu,2026-05-01_11-05-43_1dc25a83,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs128_1gpu.yaml,1,single,2853.57,2857.58,0,21236.0,16.2518,21004.0,21004.0,100.0,100.0,83.91044776119404,86.50314465408805,85.0,84.0,86.50314465408805,83.91044776119404,84.0,85.0,100.0,100.0,21004.0,21004.0,gputl_mean_full,2.5926968928940113,0.029972284860414995
xception_imagenet_bs32_1gpu,2026-05-01_11-53-26_abdd42a1,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs32_1gpu.yaml,1,single,2995.01,2999.0,0,5918.0,4.0688,5922.0,5922.0,90.0,91.0,82.3955223880597,84.949177877429,86.0,85.0,84.949177877429,82.3955223880597,85.0,86.0,91.0,90.0,5922.0,5922.0,gputl_mean_full,2.553655489369291,0.03006097943706878
xception_imagenet_bs64_1gpu,2026-05-01_12-43-31_31c73ab6,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs64_1gpu.yaml,1,single,2941.99,2945.98,0,11106.0,8.1298,10978.0,10978.0,92.0,92.0,83.38805970149254,85.74034552845528,88.5,88.0,85.74034552845528,83.38805970149254,88.0,88.5,92.0,92.0,10978.0,10978.0,gputl_mean_full,2.352285826962742,0.027434993554837864
xlnet_base_cased_wiki_bs8_2gpu,2026-05-03_23-54-28_a28ba9ef,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_base_cased_wiki_bs8_2gpu.yaml,2,gpu_a,3503.4,3516.79,0,9192.0,4.3858,8890.0,8988.0,100.0,100.0,82.75824175824175,91.70218068535826,92.0,93.0,91.70218068535826,82.75824175824175,93.0,92.0,100.0,100.0,8988.0,8890.0,gputl_mean_full,8.943938927116506,0.09753245626518182
xlnet_base_cased_wiki_bs8_2gpu,2026-05-03_23-54-28_a28ba9ef,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xlnet_base_cased_wiki_bs8_2gpu.yaml,2,gpu_b,3503.4,3516.79,0,9192.0,4.3858,428.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,428.0,gputl_mean_full,0.0,
