workload_id,run_id,spec_path,source_gpu_count,gpu_label,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,drama_aegis_profile_risk_full,drama_ewma_full,drama_max_full,drama_mean_full,drama_median_full,drama_mode_full,drama_p95_full,drama_profile_stat_score_full,gpu_memory_peak_mib_peak_full,smact_aegis_profile_risk_full,smact_ewma_full,smact_max_full,smact_mean_full,smact_median_full,smact_mode_full,smact_p95_full,smact_profile_stat_score_full,smocc_aegis_profile_risk_full,smocc_ewma_full,smocc_max_full,smocc_mean_full,smocc_median_full,smocc_mode_full,smocc_p95_full,smocc_profile_stat_score_full,coarse_resource_label
mobilenet_cifar100_bs64_50e_1gpu,2026-05-01_05-11-15_2f594179,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_50e_1gpu.yaml,1,single,966.53,969.78,0,598.0,0.0253,0.00370282362403975,0.0026971899002795,0.005,0.0031141045958795,0.004,0.004,0.005,0.004028526148969875,602.0,0.12450067299978884,0.1025098235363979,0.175,0.1184928684627575,0.13,0.144,0.147,0.14187321711568937,0.06628557599229737,0.0539236034937537,0.095,0.0622187004754358,0.069,0.078,0.08,0.07605467511885895,light
mobilenet_imagenet_bs128_1gpu,2026-05-01_05-27-30_eff95151,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,1,single,1548.6,1552.79,0,11336.0,9.4591,0.3082702078797608,0.2465937255018511,0.39,0.2944871060171919,0.32,0.32,0.372,0.33112177650429797,11602.0,0.5146574485881642,0.4115801286410999,0.65,0.4910496657115568,0.534,0.0,0.622,0.4187624164278892,0.27735808849295285,0.2227723730740081,0.355,0.2646599808978033,0.286,0.287,0.336,0.29816499522445084,light
mobilenet_imagenet_bs32_1gpu,2026-05-01_05-53-28_be74790b,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,1,single,1666.15,1670.26,0,3352.0,2.3684,0.22778506369541743,0.192698869346501,0.276,0.2304413854351687,0.24,0.239,0.248,0.24636034635879217,3356.0,0.45208454543448784,0.3854607394644168,0.546,0.4578774422735345,0.474,0.476,0.491,0.48846936056838364,0.22167156728950163,0.1900415089448626,0.269,0.2246447602131439,0.232,0.232,0.24,0.23941119005328598,light
mobilenet_imagenet_bs64_1gpu,2026-05-01_06-21-24_05adeecb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs64_1gpu.yaml,1,single,1536.12,1540.34,0,6032.0,4.732,0.286191497450041,0.2350174348868693,0.341,0.2807485549132947,0.302,0.316,0.327,0.3099371387283237,6164.0,0.5065800074340658,0.4184850586379974,0.603,0.4971849710982658,0.5335000000000001,0.531,0.5771499999999999,0.5411712427745665,0.2660660835145081,0.2207633706668956,0.318,0.2610009633911367,0.2785,0.291,0.304,0.2871252408477842,light
resnet18_cifar100_bs128_20e_1gpu,2026-05-01_06-47-09_276041f2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs128_20e_1gpu.yaml,1,single,124.92,128.09,0,858.0,0.0911,0.0677197951855201,0.0519680696309693,0.109,0.0593111111111111,0.0735,0.078,0.0861,0.07995277777777778,852.0,0.1933261340529506,0.1520212028784692,0.319,0.1709333333333333,0.208,0.214,0.2423499999999999,0.22798333333333332,0.0730335202938345,0.0571063033975604,0.12,0.0641777777777777,0.079,0.081,0.0918499999999999,0.08604444444444442,light
resnet18_cifar100_bs128_50e_1gpu,2026-05-01_06-49-23_0a98d914,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs128_50e_1gpu.yaml,1,single,303.77,306.79,0,858.0,0.0911,0.0735150624610698,0.0547531069871365,0.106,0.0636571428571428,0.076,0.078,0.0996499999999999,0.0809142857142857,852.0,0.20240749483748996,0.1609109317309124,0.269,0.1846190476190476,0.2105,0.218,0.2535999999999998,0.2205297619047619,0.07570131348611557,0.0594885872777958,0.102,0.0685666666666666,0.079,0.082,0.0957499999999999,0.08289166666666664,light
resnet18_cifar100_bs32_20e_1gpu,2026-05-01_06-54-35_a2b2e9d4,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_20e_1gpu.yaml,1,single,460.29,463.31,0,788.0,0.0527,0.05158423504756155,0.0422858001250998,0.09,0.0489511400651465,0.048,0.047,0.0670999999999999,0.058487785016286625,790.0,0.1756983666005402,0.1504644761741478,0.233,0.171328990228013,0.182,0.186,0.199,0.19308224755700326,0.06436253774615007,0.0549061770432323,0.085,0.062543973941368,0.067,0.068,0.073,0.070635993485342,light
resnet18_cifar100_bs32_50e_1gpu,2026-05-01_07-02-24_fabbfa65,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,1,single,1147.33,1150.33,0,788.0,0.0527,0.05059792205124595,0.0429602897880973,0.088,0.0494313984168865,0.048,0.047,0.062,0.05810784960422162,790.0,0.17583967733519845,0.1510262555149363,0.253,0.1733324538258575,0.184,0.189,0.195,0.19983311345646437,0.0641097252793361,0.0551315132545476,0.093,0.0633073878627968,0.067,0.069,0.071,0.0730768469656992,light
resnet18_cifar100_bs64_20e_1gpu,2026-05-01_07-21-40_dc196945,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs64_20e_1gpu.yaml,1,single,239.16,242.17,0,796.0,0.0652,0.04956927878191125,0.041996627322767,0.083,0.047780487804878,0.0485,0.059,0.06,0.0595701219512195,798.0,0.1681357570776359,0.1405808331885925,0.234,0.1612621951219512,0.177,0.177,0.1936999999999999,0.18731554878048778,0.06270048961809907,0.0525946413992256,0.088,0.0602073170731707,0.066,0.07,0.072,0.07105182926829268,light
resnet18_cifar100_bs64_50e_1gpu,2026-05-01_07-25-48_cbc5774e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs64_50e_1gpu.yaml,1,single,600.67,603.72,0,796.0,0.0652,0.050554844461592925,0.0415543654394239,0.087,0.0486650124069478,0.048,0.047,0.064,0.05766625310173695,798.0,0.1696017984760488,0.1432913130108951,0.251,0.1652158808933002,0.175,0.182,0.1949,0.19330397022332504,0.06323619680018322,0.0533442909228173,0.095,0.0616004962779156,0.066,0.069,0.072,0.0729001240694789,light
