row_index,run_id,task_path,finish_status,return_code,total_runtime_seconds,ttfk_wait_seconds,base_metric,mean_w120s,mean_w200s,mean_abs_error,mean_relative_error,median_w120s,median_w200s,median_abs_error,median_relative_error,p95_w120s,p95_w200s,p95_abs_error,p95_relative_error,ewma_w120s,ewma_w200s,ewma_abs_error,ewma_relative_error,risk_w120s,risk_w200s,risk_abs_error,risk_relative_error
32,solo_0033_resnet18_cifar100_bs64_50e_1gpu_1754a789,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs64_50e_1gpu.yaml,completed,0,568.924559090985,8.029234325978905,smocc,0.04325,0.0421796407185628,0.0010703592814371998,0.02537620670074002,0.0625,0.06,0.0025000000000000022,0.041666666666666706,0.074,0.0736999999999999,0.00030000000000009186,0.004070556309363531,0.0486761982564154,0.0467351356722947,0.0019410625841206966,0.04153326092238966,0.0571065495641038,0.0556536940977144,0.0014528554663893953,0.02610528357450151
44,solo_0045_vgg16_imagenet_bs32_1gpu_14bb04eb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/vgg16_imagenet_bs32_1gpu.yaml,completed,0,3035.353127323993,9.899930458981544,smocc,0.2812650602409638,0.2807482014388489,0.000516858802114939,0.0018410048558317068,0.423,0.422,0.0010000000000000009,0.0023696682464455,0.428,0.427,0.0010000000000000009,0.002341920374707262,0.2471012158530201,0.2438911241992099,0.0032100916538101987,0.013161986375478758,0.344841569023496,0.3434098314095147,0.0014317376139812987,0.004169180620440531
25,solo_0026_mobilenet_imagenet_bs32_1gpu_82726bec,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,completed,0,1662.355169040995,8.3522559349949,smact,0.3191869158878505,0.3160564971751412,0.0031304187127092487,0.009904617499366076,0.467,0.468,0.0010000000000000009,0.0021367521367521387,0.5,0.502,0.0020000000000000018,0.003984063745019924,0.3447149973340894,0.339118726686009,0.0055962706480803814,0.016502393432439325,0.407725478305485,0.4062938059652876,0.0014316723401974207,0.003523736564961904
40,solo_0041_resnet50_imagenet_bs32_1gpu_bb4c8993,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet50_imagenet_bs32_1gpu.yaml,completed,0,2098.914687914977,8.937296841992065,smocc,0.21625,0.2147581699346405,0.0014918300653594951,0.00694655791588054,0.323,0.323,0.0,0.0,0.33045,0.3304,4.999999999999449e-05,0.0001513317191283126,0.1972178619148364,0.1930605182193427,0.004157343695493698,0.02153388861605767,0.2667294654787091,0.2653046720384958,0.0014247934402133455,0.005370404634286303
3,solo_0004_efficientnet_cifar100_bs128_20e_1gpu_c88aecbd,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_cifar100_bs128_20e_1gpu.yaml,completed,0,303.9495732369978,8.06939827100723,drama,0.0163583333333333,0.017305,0.0009466666666666998,0.05470480593277664,0.015,0.0185,0.0034999999999999996,0.18918918918918917,0.02405,0.024,4.999999999999796e-05,0.0020833333333332483,0.0141994929914596,0.0154474448421991,0.0012479518507395003,0.0807869433092497,0.0174019565811982,0.0188131112105497,0.0014111546293514993,0.07500910474393921
9,solo_0010_efficientnet_imagenet_bs128_1gpu_c495ca3c,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,completed,0,1682.8490802990127,8.214838965999661,drama,0.3472416666666666,0.3513819095477387,0.004140242881072065,0.011782743415564404,0.3595,0.36,0.0005000000000000004,0.0013888888888888902,0.375,0.375,0.0,0.0,0.3087178640658365,0.3097210702716496,0.0010032062058130675,0.003239063473896617,0.3476148826831258,0.349025744954847,0.0014108622717212138,0.004042287115249149
37,solo_0038_resnet34_cifar100_bs64_20e_1gpu_53da0e3f,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet34_cifar100_bs64_20e_1gpu.yaml,completed,0,386.8545061420009,8.031420521001564,smact,0.1168947368421052,0.11685625,3.848684210520925e-05,0.00032935202101050864,0.166,0.167,0.0010000000000000009,0.005988023952095813,0.1936,0.198,0.004400000000000015,0.022222222222222296,0.1327240322987063,0.132908499893637,0.00018446759493070952,0.0013879292526688197,0.1523046922852029,0.1536911874734092,0.0013864951882062992,0.009021305716999441
47,solo_0048_xception_imagenet_bs32_1gpu_b892e081,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/xception_imagenet_bs32_1gpu.yaml,completed,0,3005.0821303559933,8.900245321012335,smocc,0.2842820512820512,0.2858384615384615,0.00155641025641029,0.0054450693865103405,0.4245,0.426,0.0015000000000000013,0.0035211267605633834,0.431,0.431,0.0,0.0,0.2967971990289321,0.2991810455662532,0.0023838465373210993,0.00796790629837277,0.3591448125777459,0.3605048767761787,0.00136006419843282,0.003772665187209722
26,solo_0027_mobilenet_imagenet_bs64_1gpu_7986ce19,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs64_1gpu.yaml,completed,0,1541.707540388015,8.184219611022854,smocc,0.1741809523809523,0.1753371428571428,0.001156190476190505,0.006594098987528955,0.245,0.25,0.0050000000000000044,0.020000000000000018,0.3024,0.2992999999999999,0.0031000000000001027,0.010357500835282672,0.1902185135083243,0.1923303501026443,0.002111836594319988,0.010980256590771696,0.2279498664723191,0.2292418732399467,0.0012920067676275848,0.0056359981244580295
28,solo_0029_resnet18_cifar100_bs128_50e_1gpu_384b2937,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs128_50e_1gpu.yaml,completed,0,305.33673291202285,8.069799884018721,smact,0.1343076923076923,0.1326395348837209,0.0016681574239713892,0.01257662299128075,0.1935,0.195,0.0015000000000000013,0.007692307692307699,0.25385,0.2494499999999999,0.004400000000000126,0.017638805371818514,0.1521437898902136,0.1518080768588791,0.0003357130313345058,0.0022114306318930903,0.1834503705494765,0.18222440293565,0.0012259676138264841,0.006727790537798701
