metric,summary_window_seconds,reference_window_seconds,n,mean_abs_error,median_abs_error,p95_abs_error,mean_abs_relative_error,base_metric,risk_component
smocc_median,30.0,200.0,3,0.0011666666666666,0.0015,0.00195,0.0041618948032332,smocc,median
smocc_median,40.0,200.0,3,0.0013333333333333,0.0005,0.00275,0.0045229244010822,smocc,median
smocc_median,60.0,200.0,3,0.0026666666666666,0.003,0.0039,0.0090236999173607,smocc,median
smocc_median,120.0,200.0,3,0.0013333333333333,0.001,0.0028,0.004448234364733,smocc,median
smocc_median,200.0,200.0,3,0.0,0.0,0.0,0.0,smocc,median
smocc_p95,5.0,200.0,3,0.0324833333333333,0.0317999999999999,0.0376500000000001,0.1041192125315691,smocc,p95
smocc_p95,10.0,200.0,3,0.0115166666666666,0.0042,0.0241349999999999,0.0354446480352293,smocc,p95
smocc_p95,20.0,200.0,3,0.00165,0.00035,0.004085,0.0059141331679389,smocc,p95
smocc_p95,30.0,200.0,3,0.0048833333333333,0.0020499999999999,0.010825,0.0148277671598245,smocc,p95
smocc_p95,40.0,200.0,3,0.0050666666666666,0.0043,0.009385,0.0154743141003267,smocc,p95
smocc_p95,60.0,200.0,3,0.0027333333333333,0.0022,0.004945,0.008395792007828,smocc,p95
smocc_p95,120.0,200.0,3,0.00085,0.001,0.001,0.0026886433118072,smocc,p95
smocc_p95,200.0,200.0,3,0.0,0.0,0.0,0.0,smocc,p95
smocc_ewma,5.0,200.0,3,0.010703728459292,0.0086286905343272,0.0153270133939218,0.0599134808169957,smocc,ewma
smocc_ewma,10.0,200.0,3,0.011318602907515,0.0084068750038414,0.0219787251591336,0.0650976741460366,smocc,ewma
smocc_ewma,20.0,200.0,3,0.0108116900106846,0.0109630065557207,0.0151970007158042,0.056820038540387,smocc,ewma
smocc_ewma,30.0,200.0,3,0.0093646098798276,0.0079461484978982,0.0128064206882589,0.0498463043642684,smocc,ewma
smocc_ewma,40.0,200.0,3,0.007326595422934,0.0061249444946956,0.009829233291557,0.0391584339263809,smocc,ewma
smocc_ewma,60.0,200.0,3,0.0056812755799222,0.0061086783588571,0.0069938676075563,0.0312031430665403,smocc,ewma
smocc_ewma,120.0,200.0,3,0.0024718694453996,0.0020623615647528,0.0042693787467503,0.0149226483956331,smocc,ewma
smocc_ewma,200.0,200.0,3,0.0,0.0,0.0,0.0,smocc,ewma
smocc_risk,5.0,200.0,3,0.0456851885430752,0.045745216315676,0.0805508745427748,0.1984307285173519,smocc,risk
smocc_risk,10.0,200.0,3,0.0191676145990174,0.0123163570606037,0.0343037363711796,0.0832027399099221,smocc,risk
smocc_risk,20.0,200.0,3,0.0037006419998855,0.0053656342573675,0.0055741716996034,0.0155173454866251,smocc,risk
smocc_risk,30.0,200.0,3,0.0030879432836811,0.0012981897152714,0.0072664924509257,0.012017303490868,smocc,risk
smocc_risk,40.0,200.0,3,0.0009520084190657,0.0004033253914794,0.0019641441603697,0.0037241319782805,smocc,risk
smocc_risk,60.0,200.0,3,0.0032887888478558,0.0036201943625594,0.0037985317701445,0.0136841445593531,smocc,risk
smocc_risk,120.0,200.0,3,0.0009187177354683,0.0004501034524618,0.0019283647666752,0.0040704777302715,smocc,risk
smocc_risk,200.0,200.0,3,0.0,0.0,0.0,0.0,smocc,risk
drama_mean,5.0,200.0,3,0.0662263545783058,0.0691880341880341,0.1087368362056886,0.3147497119895607,drama,mean
drama_mean,10.0,200.0,3,0.0356707990227502,0.0336880341880341,0.0597368362056885,0.169324546398996,drama,mean
drama_mean,20.0,200.0,3,0.0162339303358815,0.0178547008547008,0.0265785028723552,0.0772052206532848,drama,mean
drama_mean,30.0,200.0,3,0.0106174221164322,0.0120213675213675,0.0144201695390219,0.0505164766331443,drama,mean
drama_mean,40.0,200.0,3,0.0078185262954775,0.0079380341880341,0.0117493362056886,0.0371463623147291,drama,mean
drama_mean,60.0,200.0,3,0.0051845573188614,0.004892796092796,0.0071748799637323,0.0246114867856214,drama,mean
drama_mean,120.0,200.0,3,0.0018442807683089,0.0015832023355041,0.002774751352293,0.0087158696254964,drama,mean
drama_mean,200.0,200.0,3,0.0,0.0,0.0,0.0,drama,mean
drama_median,5.0,200.0,3,0.058,0.033,0.123,0.2700448125335901,drama,median
drama_median,10.0,200.0,3,0.0106666666666666,0.0115,0.0177999999999999,0.0494009782753388,drama,median
drama_median,20.0,200.0,3,0.0061666666666666,0.0034999999999999,0.01205,0.0287191282075925,drama,median
drama_median,30.0,200.0,3,0.004,0.002,0.0074,0.0186541215876219,drama,median
drama_median,40.0,200.0,3,0.0035,0.004,0.0049,0.0162805155236515,drama,median
drama_median,60.0,200.0,3,0.003,0.003,0.0048,0.0139282441584352,drama,median
drama_median,120.0,200.0,3,0.001,0.001,0.0019,0.0046225180633782,drama,median
drama_median,200.0,200.0,3,0.0,0.0,0.0,0.0,drama,median
drama_p95,5.0,200.0,3,0.0220333333333333,0.0186999999999999,0.0439,0.0924490644676726,drama,p95
drama_p95,10.0,200.0,3,0.0155666666666666,0.0106999999999999,0.0327949999999999,0.0649937253609305,drama,p95
drama_p95,20.0,200.0,3,0.0047999999999999,0.00465,0.0092399999999999,0.0208874625118864,drama,p95
drama_p95,30.0,200.0,3,0.0048999999999999,0.0023999999999999,0.0092849999999999,0.0214457124894327,drama,p95
drama_p95,40.0,200.0,3,0.0056833333333333,0.0042499999999999,0.0088399999999999,0.024634934369374,drama,p95
drama_p95,60.0,200.0,3,0.0040333333333333,0.0046000000000001,0.0048699999999999,0.0172331264523412,drama,p95
drama_p95,120.0,200.0,3,0.0016666666666666,0.0016999999999998,0.0031399999999999,0.0071801793627026,drama,p95
drama_p95,200.0,200.0,3,0.0,0.0,0.0,0.0,drama,p95
drama_ewma,5.0,200.0,3,0.0307970587948,0.0283198234193229,0.0557910437727768,0.1653367135261076,drama,ewma
drama_ewma,10.0,200.0,3,0.0165333293963351,0.0110026192781912,0.028530812916586,0.0877546233904191,drama,ewma
drama_ewma,20.0,200.0,3,0.004061404375668,0.003797096354929,0.007193312876474,0.0219349308125078,drama,ewma
drama_ewma,30.0,200.0,3,0.0037615408730141,0.0047354159720489,0.005772480042413,0.0194137954250765,drama,ewma
drama_ewma,40.0,200.0,3,0.0032679096224838,0.0027663524822642,0.0046172029596098,0.0171629750789084,drama,ewma
drama_ewma,60.0,200.0,3,0.002670803874515,0.0032537679115004,0.0034248531802354,0.013850387527275,drama,ewma
drama_ewma,120.0,200.0,3,0.0016559677491981,0.0003302088243593,0.0040594094627374,0.0081798176103119,drama,ewma
drama_ewma,200.0,200.0,3,0.0,0.0,0.0,0.0,drama,ewma
drama_risk,5.0,200.0,3,0.0441475200099431,0.0373019644018392,0.0828569699946163,0.2079483492119036,drama,risk
drama_risk,10.0,200.0,3,0.0196093654381047,0.0143476633665563,0.0344781622805686,0.0921061524060951,drama,risk
drama_risk,20.0,200.0,3,0.0076794259271676,0.0096688427806143,0.0119907391546417,0.0364421447087255,drama,risk
drama_risk,30.0,200.0,3,0.0058197407473615,0.0053579762787387,0.0070173239138925,0.0275342285051969,drama,risk
drama_risk,40.0,200.0,3,0.0050674423128236,0.0052506393901432,0.0062503390635814,0.023906408637407,drama,risk
drama_risk,60.0,200.0,3,0.0037221736316774,0.0030268942875753,0.0049089586146421,0.0174839298011789,drama,risk
drama_risk,120.0,200.0,3,0.0013200273253168,0.0006030713643928,0.0029135120612003,0.0061272368977743,drama,risk
drama_risk,200.0,200.0,3,0.0,0.0,0.0,0.0,drama,risk
