run_id,task_id,task_path,finish_status,return_code,window_seconds,summary_windows_collected,total_runtime_seconds,ttfk_wait_seconds,row_index,summary_window_seconds,metric,value
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,20.0,smact_risk,0.6410427254014909
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,20.0,smocc_mean,0.1581666666666666
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,20.0,smocc_median,0.2595
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,20.0,smocc_p95,0.27045
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,20.0,smocc_ewma,0.1591833094992915
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,20.0,smocc_risk,0.2118249940414895
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,20.0,drama_mean,0.1855833333333333
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,20.0,drama_median,0.204
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,20.0,drama_p95,0.2403499999999999
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,20.0,drama_ewma,0.1827963052348982
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,20.0,drama_risk,0.2031824096420579
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,30.0,smact_mean,0.5130555555555556
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,30.0,smact_median,0.7885
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,30.0,smact_p95,0.9161
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,30.0,smact_ewma,0.4959052100018408
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,30.0,smact_risk,0.6783901913893491
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,30.0,smocc_mean,0.1661666666666666
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,30.0,smocc_median,0.264
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,30.0,smocc_p95,0.27415
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,30.0,smocc_ewma,0.1601799207442796
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,30.0,smocc_risk,0.2161241468527366
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,30.0,drama_mean,0.1984444444444444
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,30.0,drama_median,0.215
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,30.0,drama_p95,0.24275
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,30.0,drama_ewma,0.1859319043263984
solo_0001_gpt2_large_wiki_bs8_2gpu_54219fc7,98ba4929-5f45-4b79-9028-6f92dfe91904,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,completed,0,30.0,"5.0,10.0,20.0,30.0,40.0,60.0,120.0,200.0",3967.1626617930015,25.48045799601823,0,30.0,drama_risk,0.2105315871927107
