spec_key,spec_path,normalized_speed,partner_spec_key,pair_id,pairwise_source_csv,pair_time_s,partner_pair_time_s,partner_runtime_ratio,valid_for_label
resnet34_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_20e_1gpu.yaml,1.0,mobilenet_cifar100_bs32_20e_1gpu.yaml,mobilenet_cifar100_bs32_20e_1gpu__PLUS__resnet34_cifar100_bs32_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,981.76,1108.64,1.1292372881355934,True
resnet18_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs128_50e_1gpu.yaml,0.9052194446706294,resnet34_cifar100_bs64_20e_1gpu.yaml,resnet18_cifar100_bs128_50e_1gpu__PLUS__resnet34_cifar100_bs64_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,491.24,533.43,1.0858846999430012,True
resnet34_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs64_20e_1gpu.yaml,0.9753857113398195,resnet18_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs128_50e_1gpu__PLUS__resnet34_cifar100_bs64_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,533.43,491.24,0.9209080854095196,True
resnet18_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_20e_1gpu.yaml,0.9723705245377492,resnet34_cifar100_bs128_20e_1gpu.yaml,resnet18_cifar100_bs64_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,331.53,297.45,0.897203872952674,True
resnet34_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_20e_1gpu.yaml,0.9151790216843168,resnet18_cifar100_bs64_20e_1gpu.yaml,resnet18_cifar100_bs64_20e_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,297.45,331.53,1.1145738779626828,True
mobilenet_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_50e_1gpu.yaml,1.0,resnet34_cifar100_bs32_50e_1gpu.yaml,mobilenet_cifar100_bs32_50e_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,2778.28,2502.78,0.9008379285025268,True
resnet34_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,1.0,mobilenet_cifar100_bs32_50e_1gpu.yaml,mobilenet_cifar100_bs32_50e_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,2502.78,2778.28,1.110077593715788,True
mnist_bs32_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mnist_bs32_1gpu.yaml,0.9638966303521664,resnet34_cifar100_bs128_20e_1gpu.yaml,mnist_bs32_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,236.82,262.41,1.1080567519635167,True
resnet34_cifar100_bs128_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_20e_1gpu.yaml,1.0,mnist_bs32_1gpu.yaml,mnist_bs32_1gpu__PLUS__resnet34_cifar100_bs128_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,262.41,236.82,0.9024808505773407,True
mobilenet_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_50e_1gpu.yaml,1.0,resnet18_cifar100_bs32_50e_1gpu.yaml,mobilenet_cifar100_bs64_50e_1gpu__PLUS__resnet18_cifar100_bs32_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,1411.56,1490.76,1.0561081356796735,True
resnet18_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_50e_1gpu.yaml,1.0,mobilenet_cifar100_bs64_50e_1gpu.yaml,mobilenet_cifar100_bs64_50e_1gpu__PLUS__resnet18_cifar100_bs32_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,1490.76,1411.56,0.9468727360540932,True
efficientnet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,0.9630468317379954,resnet18_cifar100_bs64_50e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu__PLUS__resnet18_cifar100_bs64_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,1011.28,754.86,0.7464401550510245,False
resnet18_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,1.0,efficientnet_cifar100_bs128_50e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu__PLUS__resnet18_cifar100_bs64_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,754.86,1011.28,1.3396921283416792,True
efficientnet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_imagenet_bs64_1gpu.yaml,0.888347782454771,resnet34_cifar100_bs32_50e_1gpu.yaml,efficientnet_imagenet_bs64_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,3587.3,3841.28,1.0707997658406043,True
resnet34_cifar100_bs32_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_50e_1gpu.yaml,0.6932506872709097,efficientnet_imagenet_bs64_1gpu.yaml,efficientnet_imagenet_bs64_1gpu__PLUS__resnet34_cifar100_bs32_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,3841.28,3587.3,0.9338814145284905,True
