telemetry_file,gpu_id,energy_column,energy_start_raw,energy_end_raw,energy_delta_raw,energy_delta_j,start_sample_time_s,end_sample_time_s,trace,policy,raw_label,experiment_name,run_dir
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__lucid_baseline/20260619-162854/LUCID/runtime/telemetry/dcgmi_metrics.csv,1,energy,25354132.0,9410973213.0,9385619081.0,9385619081.0,519.076634989,41214.593322842,saturn,Lucid,LUCID,final_representative_evaluation__saturn__rep01__lucid_baseline,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__lucid_baseline
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__lucid_baseline/20260619-162854/LUCID/runtime/telemetry/dcgmi_metrics.csv,3,energy,26147594.0,7222624335.0,7196476741.0,7196476741.0,519.076634989,41214.593322842,saturn,Lucid,LUCID,final_representative_evaluation__saturn__rep01__lucid_baseline,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__lucid_baseline
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus/20260618-133928/EST-MAGM__horus/runtime/telemetry/dcgmi_metrics.csv,0,energy,25641189229.0,33739401808.0,8098212579.0,8098212579.0,103558.521256224,137720.909633994,saturn,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__saturn__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus/20260618-133928/EST-MAGM__horus/runtime/telemetry/dcgmi_metrics.csv,1,energy,23332089818.0,30402527516.0,7070437698.0,7070437698.0,103558.521256224,137720.909633994,saturn,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__saturn__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus/20260618-133928/EST-MAGM__horus/runtime/telemetry/dcgmi_metrics.csv,3,energy,22826854884.0,31832338610.0,9005483726.0,9005483726.0,103558.521256224,137720.909633994,saturn,AEGIS+HorusMem,EST-MAGM__horus,final_representative_evaluation__saturn__rep01__aegis_horus,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_horus
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,0,energy,9706051340.0,17239413988.0,7533362648.0,7533362648.0,41217.03694624,73876.564164453,saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,1,energy,9411103877.0,16838542010.0,7427438133.0,7427438133.0,41217.03694624,73876.564164453,saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/dcgmi_metrics.csv,3,energy,7222763952.0,15818077418.0,8595313466.0,8595313466.0,41217.03694624,73876.564164453,saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,0,energy,16780708718.0,25641041469.0,8860332751.0,8860332751.0,69994.884996934,103555.441160688,saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,1,energy,15611296765.0,23331943450.0,7720646685.0,7720646685.0,69994.884996934,103555.441160688,saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,3,energy,15514801214.0,22826704486.0,7311903272.0,7311903272.0,69994.884996934,103555.441160688,saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free
evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive/runtime/telemetry/dcgmi_metrics.csv,0,energy,15936159.0,10036362732.0,10020426573.0,10020426573.0,338.222788046,45095.00718602,venus,Exclusive,exclusive,final_representative_evaluation__venus__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive
evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive/runtime/telemetry/dcgmi_metrics.csv,1,energy,16331875.0,9145603844.0,9129271969.0,9129271969.0,338.222788046,45095.00718602,venus,Exclusive,exclusive,final_representative_evaluation__venus__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive
evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive/runtime/telemetry/dcgmi_metrics.csv,3,energy,16843049.0,8153723392.0,8136880343.0,8136880343.0,338.222788046,45095.00718602,venus,Exclusive,exclusive,final_representative_evaluation__venus__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive
evaluation/experiments/results/final_representative_evaluation__venus__rep01__horus_baseline/20260623-001036/HORUS__horus/runtime/telemetry/dcgmi_metrics.csv,0,energy,8069136205.0,18914632244.0,10845496039.0,10845496039.0,31512.440650137,73829.512848481,venus,Horus,HORUS__horus,final_representative_evaluation__venus__rep01__horus_baseline,evaluation/experiments/results/final_representative_evaluation__venus__rep01__horus_baseline
evaluation/experiments/results/final_representative_evaluation__venus__rep01__horus_baseline/20260623-001036/HORUS__horus/runtime/telemetry/dcgmi_metrics.csv,1,energy,6234932405.0,14702123751.0,8467191346.0,8467191346.0,31512.440650137,73829.512848481,venus,Horus,HORUS__horus,final_representative_evaluation__venus__rep01__horus_baseline,evaluation/experiments/results/final_representative_evaluation__venus__rep01__horus_baseline
evaluation/experiments/results/final_representative_evaluation__venus__rep01__horus_baseline/20260623-001036/HORUS__horus/runtime/telemetry/dcgmi_metrics.csv,3,energy,5828802106.0,13377115931.0,7548313825.0,7548313825.0,31512.440650137,73829.512848481,venus,Horus,HORUS__horus,final_representative_evaluation__venus__rep01__horus_baseline,evaluation/experiments/results/final_representative_evaluation__venus__rep01__horus_baseline
evaluation/experiments/results/final_representative_evaluation__venus__rep01__lucid_baseline/20260623-115555/LUCID/runtime/telemetry/dcgmi_metrics.csv,0,energy,18914774313.0,28469899041.0,9555124728.0,9555124728.0,73831.954845833,114351.22340695,venus,Lucid,LUCID,final_representative_evaluation__venus__rep01__lucid_baseline,evaluation/experiments/results/final_representative_evaluation__venus__rep01__lucid_baseline
