trace,policy,raw_label,experiment_name,telemetry_file,metric,column,stat,value
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/top_data.csv,gpu_memory,free_memory,p50,310.8609
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/top_data.csv,gpu_memory,free_memory,p95,324.9476
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/top_data.csv,gpu_memory,free_memory,max,330.15270000000004
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/top_data.csv,gpu_memory,used_memory,mean,26.60303759819514
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/top_data.csv,gpu_memory,used_memory,p50,27.2544
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/top_data.csv,gpu_memory,used_memory,p95,42.8152
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/20260620-034712/oracle-MAGM/runtime/telemetry/top_data.csv,gpu_memory,used_memory,max,47.1825
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/analysis/run_summary.csv,smact,risk_smact_threshold,mean,0.65
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/analysis/run_summary.csv,smact,risk_smact_threshold,p50,0.65
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/analysis/run_summary.csv,smact,risk_smact_threshold,p95,0.65
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/analysis/run_summary.csv,smact,risk_smact_threshold,max,0.65
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/analysis/run_summary.csv,smocc,risk_smocc_threshold,mean,0.35
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/analysis/run_summary.csv,smocc,risk_smocc_threshold,p50,0.35
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/analysis/run_summary.csv,smocc,risk_smocc_threshold,p95,0.35
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/analysis/run_summary.csv,smocc,risk_smocc_threshold,max,0.35
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/analysis/run_summary.csv,drama,risk_drama_threshold,mean,0.5
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/analysis/run_summary.csv,drama,risk_drama_threshold,p50,0.5
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/analysis/run_summary.csv,drama,risk_drama_threshold,p95,0.5
saturn,AEGIS+PeakMem,oracle-MAGM,final_representative_evaluation__saturn__rep01__oracle_upper_bound,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__oracle_upper_bound/analysis/run_summary.csv,drama,risk_drama_threshold,max,0.5
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,gpu_memory,free_gpu_memory,mean,18318.469685732154
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,gpu_memory,free_gpu_memory,p50,17911.0
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,gpu_memory,free_gpu_memory,p95,40396.0
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,gpu_memory,free_gpu_memory,max,40396.0
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,gpu_memory,memory_copy,mean,41.778470980032864
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,gpu_memory,memory_copy,p50,46.0
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,gpu_memory,memory_copy,p95,76.0
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,gpu_memory,memory_copy,max,89.0
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,smact,smact,mean,0.5486481828890536
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,smact,smact,p50,0.787
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,smact,smact,p95,0.989
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,smact,smact,max,0.998
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,smocc,smocc,mean,0.25674938557072846
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,smocc,smocc,p50,0.327
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,smocc,smocc,p95,0.533
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,smocc,smocc,max,0.621
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,drama,drama,mean,0.32653828366999693
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,drama,drama,p50,0.364
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,drama,drama,p95,0.599
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,drama,drama,max,0.636
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,power,power,mean,239.87483677268295
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,power,power,p50,270.51
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,power,power,p95,297.288
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,power,power,max,319.781
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/top_data.csv,gpu_memory,total_memory,mean,515.7959000000001
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/top_data.csv,gpu_memory,total_memory,p50,515.7959000000001
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/top_data.csv,gpu_memory,total_memory,p95,515.7959000000001
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/top_data.csv,gpu_memory,total_memory,max,515.7959000000001
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/top_data.csv,gpu_memory,free_memory,mean,315.299972871337
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/top_data.csv,gpu_memory,free_memory,p50,314.4357
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/top_data.csv,gpu_memory,free_memory,p95,327.02217
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/top_data.csv,gpu_memory,free_memory,max,331.6918
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/top_data.csv,gpu_memory,used_memory,mean,23.074733755792693
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/top_data.csv,gpu_memory,used_memory,p50,24.5356
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/top_data.csv,gpu_memory,used_memory,p95,34.928189999999994
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/top_data.csv,gpu_memory,used_memory,max,41.9209
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/analysis/run_summary.csv,smact,risk_smact_threshold,mean,0.65
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/analysis/run_summary.csv,smact,risk_smact_threshold,p50,0.65
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/analysis/run_summary.csv,smact,risk_smact_threshold,p95,0.65
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/analysis/run_summary.csv,smact,risk_smact_threshold,max,0.65
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/analysis/run_summary.csv,smocc,risk_smocc_threshold,mean,0.35
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/analysis/run_summary.csv,smocc,risk_smocc_threshold,p50,0.35
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/analysis/run_summary.csv,smocc,risk_smocc_threshold,p95,0.35
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/analysis/run_summary.csv,smocc,risk_smocc_threshold,max,0.35
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/analysis/run_summary.csv,drama,risk_drama_threshold,mean,0.5
saturn,AEGIS-EstimatorFree,OR-MAGM,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/analysis/run_summary.csv,drama,risk_drama_threshold,p50,0.5
