threshold_dir,run_dir,tau_smact,tau_smocc,tau_drama,num_trials,planned_workload_count_sum,admitted_workload_count_sum,admission_fraction,completion_fraction,mean_throughput_gain,median_throughput_gain,mean_slowdown,median_max_slowdown,max_slowdown,p95_max_slowdown,p95_slowdown_mean,failed_started_rows,reject_retry_count,score,manifest,solo_runtime_csv
smact_0p90_smocc_0p65_drama_0p40,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p90_smocc_0p65_drama_0p40,0.9,0.65,0.4,5,22,22,1.0,1.0,2.0559354527147957,2.040230380142064,1.564394374360502,1.425153191123162,2.5415498515058994,2.521418808477959,1.7951377214746185,0,0,0.8089298155991821,,
smact_0p90_smocc_0p65_drama_0p50,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p90_smocc_0p65_drama_0p50,0.9,0.65,0.5,5,22,22,1.0,1.0,2.0645207646780057,2.049419687667138,1.5656435849629766,1.4274808512404236,2.532446413685672,2.5128938026238425,1.7921836315799613,0,0,0.8152278182555276,,
smact_0p90_smocc_0p65_drama_0p60,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p90_smocc_0p65_drama_0p60,0.9,0.65,0.6,5,22,22,1.0,1.0,2.0589812646630827,2.0603479926456503,1.568394312198063,1.4226792387155336,2.54283014951511,2.5215549070725216,1.7937119954413572,0,0,0.8097203287666335,,
smact_0p95_smocc_0p95_drama_0p95,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p95_smocc_0p95_drama_0p95,0.95,0.95,0.95,5,22,22,1.0,1.0,2.0698495760987266,2.04663210806014,1.5696941882495445,1.417719198048505,2.543679109496805,2.5230929150742583,1.7974206796526389,0,0,0.8137227562906658,,
smact_0p95_smocc_0p95_drama_1p00,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p95_smocc_0p95_drama_1p00,0.95,0.95,1.0,5,22,22,1.0,1.0,2.0487848026488735,2.021207824385969,1.5672736567436303,1.4215511666349727,2.54748868016024,2.525176927351348,1.79387735192973,0,0,0.8042370584822393,,
smact_0p95_smocc_1p00_drama_0p95,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p95_smocc_1p00_drama_0p95,0.95,1.0,0.95,5,22,22,1.0,1.0,2.0650651999758596,2.0538626312852943,1.5672283347988456,1.4265430178491292,2.5437070600560827,2.523122547621226,1.7945111322134615,0,0,0.8118329474347293,,
smact_0p95_smocc_1p00_drama_1p00,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p95_smocc_1p00_drama_1p00,0.95,1.0,1.0,5,22,22,1.0,1.0,2.0583673723100024,2.0050006856055,1.5709649307108833,1.418625283352022,2.5369717435202674,2.51551084565554,1.789507011994632,0,0,0.8113481663985109,,
smact_1p00_smocc_0p95_drama_0p95,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_1p00_smocc_0p95_drama_0p95,1.0,0.95,0.95,5,22,22,1.0,1.0,2.07105247887816,2.0566400467968324,1.5698336453136523,1.4259653188259618,2.552118891735927,2.530519125109529,1.7976118190803132,0,0,0.8115031339584066,,
smact_1p00_smocc_0p95_drama_1p00,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_1p00_smocc_0p95_drama_1p00,1.0,0.95,1.0,5,22,22,1.0,1.0,2.0584041689801813,2.038214828560754,1.571461763110755,1.4274170739977912,2.533253169884343,2.5150693659052727,1.79416215379436,0,0,0.8125536734546587,,
smact_1p00_smocc_1p00_drama_0p95,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_1p00_smocc_1p00_drama_0p95,1.0,1.0,0.95,5,22,22,1.0,1.0,2.0805816372210497,2.102612094578288,1.5640267789467994,1.4225172941119713,2.5314021558073327,2.5117842511293347,1.7904720611892646,0,0,0.8219087719617968,,
smact_1p00_smocc_1p00_drama_1p00,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_1p00_smocc_1p00_drama_1p00,1.0,1.0,1.0,5,22,22,1.0,1.0,2.0634626100490423,2.0358862896511587,1.5634990351119638,1.4138370371281046,2.531608840043544,2.512621408040091,1.7898009698451358,0,0,0.8150795562925711,,
