trial_id,gpu_id,cuda_visible_devices,tau_smact,tau_smocc,tau_drama,window_seconds,planned_workload_count,admitted_workload_count,rejected_stage,rejection_reason,reject_retry_count,solo_runtime_sum_seconds,collocated_wall_time_seconds,sequence_wall_time_seconds,throughput_gain,mean_slowdown,max_slowdown,p95_slowdown,mean_execution_slowdown,max_execution_slowdown,p95_execution_slowdown,run_dir,threshold_dir,failed_started_rows
cifar_llama_imagenet_4jobs,0,0,0.1,0.05,0.4,30.0,4,4,4.0,threshold_rule,206,1429.2329093479966,486.585297,685.673505,2.0844219572812523,1.0222043461691623,1.074344078557278,1.074344078557278,1.0222043461691623,1.074344078557278,1.074344078557278,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p40,smact_0p10_smocc_0p05_drama_0p40,0
mixed_imagenet_cifar_llama_4jobs,0,0,0.1,0.05,0.5,30.0,4,4,2.0,threshold_rule,312,1429.2329093479966,454.006719,1027.821634,1.3905456570181485,0.9777482948859126,1.002957095125992,1.002957095125992,0.9777482948859126,1.002957095125992,1.002957095125992,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p50,smact_0p10_smocc_0p05_drama_0p50,0
mixed_reverse_llama_cifar_imagenet_4jobs,0,0,0.1,0.05,0.5,30.0,4,4,4.0,threshold_rule,123,1429.2329093479966,501.535747,647.706249,2.2066066392822417,1.0361251776673883,1.0562602991744687,1.0562602991744687,1.0361251776673883,1.0562602991744687,1.0562602991744687,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p50,smact_0p10_smocc_0p05_drama_0p50,0
imagenet_diverse_5jobs,0,0,0.1,0.05,0.5,30.0,5,5,2.0,threshold_rule,2,916.242493062,447.539988,549.01773,1.6688759633718933,1.992392450483521,2.4258760758798683,2.4258760758798683,1.992392450483521,2.4258760758798683,2.4258760758798683,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p50,smact_0p10_smocc_0p05_drama_0p50,0
imagenet_diverse_reverse_5jobs,0,0,0.1,0.05,0.5,30.0,5,5,2.0,threshold_rule,344,916.242493062,236.102309,917.407111,0.9987305331253312,0.9994452136960568,1.008743758284708,1.008743758284708,0.9994452136960568,1.008743758284708,1.008743758284708,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p50,smact_0p10_smocc_0p05_drama_0p50,0
cifar_llama_imagenet_4jobs,0,0,0.1,0.05,0.5,30.0,4,4,4.0,threshold_rule,194,1429.2329093479966,486.331412,686.91014,2.080669400728306,1.0161787895811796,1.0750328740014583,1.0750328740014583,1.0161787895811796,1.0750328740014583,1.0750328740014583,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p50,smact_0p10_smocc_0p05_drama_0p50,0
mixed_imagenet_cifar_llama_4jobs,0,0,0.1,0.05,0.6,30.0,4,4,2.0,threshold_rule,288,1429.2329093479966,459.729102,998.543355,1.4313178313103856,0.951877513215342,0.9952569565136002,0.9952569565136002,0.951877513215342,0.9952569565136002,0.9952569565136002,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p60,smact_0p10_smocc_0p05_drama_0p60,0
mixed_reverse_llama_cifar_imagenet_4jobs,0,0,0.1,0.05,0.6,30.0,4,4,4.0,threshold_rule,129,1429.2329093479966,489.779229,654.076235,2.18511670791402,1.029972363046444,1.058629862295708,1.058629862295708,1.029972363046444,1.058629862295708,1.058629862295708,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p60,smact_0p10_smocc_0p05_drama_0p60,0
imagenet_diverse_5jobs,0,0,0.1,0.05,0.6,30.0,5,5,2.0,threshold_rule,8,916.242493062,443.775614,550.995868,1.6628845083498884,1.927620798627735,2.405471407979524,2.405471407979524,1.927620798627735,2.405471407979524,2.405471407979524,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p60,smact_0p10_smocc_0p05_drama_0p60,0
imagenet_diverse_reverse_5jobs,0,0,0.1,0.05,0.6,30.0,5,5,2.0,threshold_rule,325,916.242493062,236.753793,912.449504,1.0041569303784728,0.9914650380114848,1.001682848741327,1.001682848741327,0.9914650380114848,1.001682848741327,1.001682848741327,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p05_drama_0p60,smact_0p10_smocc_0p05_drama_0p60,0
