workload_id,run_id,sample_count_200s,derived_anchor_timestamp,gpu_memory_peak_200s_mib,gpu_memory_peak_full_mib,end_to_end_time_s,horus_gpu_util_mean,horus_gpu_util_p95,horus_gpu_util_max
mobilenet_cifar100_bs128_20e_1gpu,2026-06-16_14-21-01_ec788e9c,178,2026-06-16T14:21:09.295000,338,338,318.05,16.8876404494382,22.0,24.0
mobilenet_cifar100_bs128_50e_1gpu,2026-06-16_16-00-07_f32a350a,179,2026-06-16T16:00:14.943000,338,338,766.7,16.899441340782122,24.0,26.0
mobilenet_cifar100_bs32_20e_1gpu,2026-06-16_16-31-00_fb0d0241,178,2026-06-16T16:31:08.194000,344,344,1213.75,12.370786516853933,16.150000000000006,17.0
mobilenet_cifar100_bs32_50e_1gpu,2026-06-16_14-25-21_44dc9289,178,2026-06-16T14:25:29.473000,344,344,3177.82,11.741573033707866,15.0,17.0
mobilenet_cifar100_bs64_20e_1gpu,2026-06-16_14-26-28_f3207c60,178,2026-06-16T14:26:35.082000,424,424,664.05,12.96629213483146,17.0,20.0
mobilenet_cifar100_bs64_50e_1gpu,2026-06-16_16-13-02_d74f4954,178,2026-06-16T16:13:09.894000,424,424,1466.25,15.095505617977528,20.0,21.0
mobilenet_imagenet_bs32_1gpu,2026-06-16_12-15-56_e9d48a67,178,2026-06-16T12:16:02.726000,3032,3034,3212.37,74.0505617977528,82.0,83.0
mobilenet_imagenet_bs64_1gpu,2026-06-16_16-51-22_d674cc3b,178,2026-06-16T16:51:29.504000,5776,5778,2553.39,78.98876404494382,83.0,84.0
resnet18_cifar100_bs128_20e_1gpu,2026-06-16_15-18-27_46b383fc,160,2026-06-16T15:18:35.983000,514,514,179.84,47.925,60.04999999999998,65.0
resnet18_cifar100_bs128_50e_1gpu,2026-06-16_14-37-40_87630634,179,2026-06-16T14:37:48.773000,514,514,447.96,47.88826815642458,60.0,64.0
resnet18_cifar100_bs32_20e_1gpu,2026-06-16_16-37-37_d3d5ca40,178,2026-06-16T16:37:44.490000,494,494,680.58,33.60112359550562,40.0,45.0
resnet18_cifar100_bs32_50e_1gpu,2026-06-16_17-34-04_8ce1d1db,178,2026-06-16T17:34:11.553000,494,494,1747.2,32.7752808988764,40.0,43.0
resnet18_cifar100_bs64_20e_1gpu,2026-06-16_15-21-36_ac3ae2e0,179,2026-06-16T15:21:43.290000,514,514,325.68,38.486033519553075,48.099999999999994,55.0
resnet18_cifar100_bs64_50e_1gpu,2026-06-16_14-45-17_619949df,178,2026-06-16T14:45:24.039000,514,514,817.87,38.174157303370784,48.150000000000006,51.0
resnet34_cifar100_bs128_20e_1gpu,2026-06-16_16-49-06_367a764b,178,2026-06-16T16:49:13.234000,684,684,275.78,56.99438202247191,75.15,80.0
resnet34_cifar100_bs128_50e_1gpu,2026-06-16_18-03-20_9b235bec,177,2026-06-16T18:03:27.350000,684,684,674.86,56.0225988700565,72.0,75.0
resnet34_cifar100_bs32_20e_1gpu,2026-06-16_15-27-10_e78710f5,178,2026-06-16T15:27:17.258000,686,686,1044.05,35.76966292134831,45.0,50.0
resnet34_cifar100_bs32_50e_1gpu,2026-06-16_14-59-03_e0379b4a,178,2026-06-16T14:59:11.659000,686,686,2666.51,36.62359550561798,49.0,51.0
resnet34_cifar100_bs64_20e_1gpu,2026-06-16_16-53-50_9fba6593,178,2026-06-16T16:53:58.234000,688,688,524.07,43.51685393258427,56.0,60.0
resnet34_cifar100_bs64_50e_1gpu,2026-06-16_18-14-43_5402254c,178,2026-06-16T18:14:50.524000,688,688,1508.42,42.20224719101124,54.150000000000006,64.0
resnet50_imagenet_bs32_1gpu,2026-06-16_15-44-42_d6436aa9,178,2026-06-16T15:44:49.708000,3560,3560,5605.73,88.57865168539325,92.0,92.0
resnet50_imagenet_bs64_1gpu,2026-06-16_15-43-39_e270c872,178,2026-06-16T15:43:46.419000,6728,6728,5466.45,88.90449438202248,94.0,94.0
unet_voc_1gpu,2026-06-16_17-02-43_2e4aeb49,179,2026-06-16T17:02:51.081000,5378,5378,4745.61,50.88268156424581,100.0,100.0
vgg16_imagenet_bs32_1gpu,2026-06-16_18-40-00_370134c0,178,2026-06-16T18:40:07.361000,7072,7072,8274.19,91.20224719101124,95.0,96.0
xception_imagenet_bs32_1gpu,2026-06-16_17-18-16_66edee22,178,2026-06-16T17:18:23.962000,5382,5382,7935.08,90.50561797752809,94.0,94.0
