task_file,workload,num_gpus,estimator,yaml_field,peak_memory_mib,estimate_mib,error_mib,abs_error_mib,estimate_to_peak_ratio,underestimates,severe_underestimates,overestimates,severe_overestimates,extreme_overestimates
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs128_1gpu.yaml,efficientnet_imagenet_bs128_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,12732.0,16000.0,3268.0,3268.0,1.2566760917373547,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,efficientnet_imagenet_bs32_1gpu.yaml,1,HorusMem,horus_mib,3760.0,3864.9053,104.9052999999999,104.9052999999999,1.027900345744681,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,efficientnet_imagenet_bs32_1gpu.yaml,1,FakeTensorMem,faketensor_mib,3760.0,2730.01,-1029.9899999999998,1029.9899999999998,0.7260664893617021,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs32_1gpu.yaml,efficientnet_imagenet_bs32_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,3760.0,8000.0,4240.0,4240.0,2.127659574468085,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,1,HorusMem,horus_mib,6724.0,6909.6362,185.63619999999992,185.63619999999992,1.027608001189768,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,1,FakeTensorMem,faketensor_mib,6724.0,5454.978798,-1269.021202,1269.021202,0.8112698985722784,True,False,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/efficientnet_imagenet_bs64_1gpu.yaml,efficientnet_imagenet_bs64_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,6724.0,16000.0,9276.0,9276.0,2.379535990481856,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,gpt2_large_wiki_bs8_2gpu.yaml,2,HorusMem,horus_mib,28330.0,40000.0,11670.0,11670.0,1.4119308153900458,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,gpt2_large_wiki_bs8_2gpu.yaml,2,FakeTensorMem,faketensor_mib,28330.0,40000.0,11670.0,11670.0,1.4119308153900458,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_large_wiki_bs8_2gpu.yaml,gpt2_large_wiki_bs8_2gpu.yaml,2,GPUMemNet,gpumemnet_mib,28330.0,40000.0,11670.0,11670.0,1.4119308153900458,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,gpt2_xl_wiki_bs2_1gpu.yaml,1,HorusMem,horus_mib,33704.0,40000.0,6296.0,6296.0,1.186802753382388,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,gpt2_xl_wiki_bs2_1gpu.yaml,1,FakeTensorMem,faketensor_mib,33704.0,40000.0,6296.0,6296.0,1.186802753382388,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/gpt2_xl_wiki_bs2_1gpu.yaml,gpt2_xl_wiki_bs2_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,33704.0,40000.0,6296.0,6296.0,1.186802753382388,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,inception_imagenet_bs128_1gpu.yaml,1,HorusMem,horus_mib,17964.0,21288.6953,3324.6952999999994,3324.6952999999994,1.1850754453351147,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,inception_imagenet_bs128_1gpu.yaml,1,FakeTensorMem,faketensor_mib,17964.0,6298.154701,-11665.845299,11665.845299,0.3505986807503897,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs128_1gpu.yaml,inception_imagenet_bs128_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,17964.0,16000.0,-1964.0,1964.0,0.8906702293475841,True,False,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs32_1gpu.yaml,inception_imagenet_bs32_1gpu.yaml,1,HorusMem,horus_mib,5246.0,5990.3652,744.3652000000002,744.3652000000002,1.1418919557758291,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs32_1gpu.yaml,inception_imagenet_bs32_1gpu.yaml,1,FakeTensorMem,faketensor_mib,5246.0,1590.304115,-3655.695885,3655.695885,0.30314603793366374,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/inception_imagenet_bs32_1gpu.yaml,inception_imagenet_bs32_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,5246.0,8000.0,2754.0,2754.0,1.5249714067861229,False,False,True,True,False
