metric,summary_window_seconds,reference_window_seconds,n,mean_abs_error,median_abs_error,p95_abs_error,mean_abs_relative_error,base_metric,risk_component
smocc_mean,30.0,200.0,50,0.0061890884377062,0.0027623820281123,0.0247497039605742,0.0392517801926078,smocc,mean
smocc_mean,40.0,200.0,50,0.0057217657389903,0.0037514557543816,0.0175212848332571,0.0376998703812035,smocc,mean
smocc_mean,60.0,200.0,50,0.0035239018612309,0.0023344308881669,0.0099880757321962,0.0258216868345301,smocc,mean
smocc_mean,120.0,200.0,50,0.0017733438504765,0.0011555048766495,0.0046909442148759,0.0160543204876929,smocc,mean
smocc_mean,200.0,200.0,50,0.0,0.0,0.0,0.0,smocc,mean
smocc_median,5.0,200.0,50,0.062862,0.0137499999999999,0.2398499999999999,0.2442377843225866,smocc,median
smocc_median,10.0,200.0,50,0.01769,0.00575,0.0381749999999999,0.0937686479952544,smocc,median
smocc_median,20.0,200.0,50,0.00477,0.003,0.014775,0.0448223494520023,smocc,median
smocc_median,30.0,200.0,50,0.00363,0.002,0.0110499999999999,0.0399630037294634,smocc,median
smocc_median,40.0,200.0,50,0.003316,0.0015,0.01355,0.0304659159197895,smocc,median
smocc_median,60.0,200.0,50,0.002946,0.0015,0.0104749999999999,0.0290729164036206,smocc,median
smocc_median,120.0,200.0,50,0.001345,0.001,0.0029999999999999,0.008123914235729,smocc,median
smocc_median,200.0,200.0,50,0.0,0.0,0.0,0.0,smocc,median
smocc_p95,5.0,200.0,50,0.0160587164795336,0.005725,0.0877899999999998,0.0796821073166778,smocc,p95
smocc_p95,10.0,200.0,50,0.0073683700531193,0.0028499999999999,0.0195099999999999,0.0409169487870025,smocc,p95
smocc_p95,20.0,200.0,50,0.0051700636888455,0.0019,0.0190599999999999,0.0274647271993903,smocc,p95
smocc_p95,30.0,200.0,50,0.002736,0.0018,0.00939,0.014616086126153,smocc,p95
smocc_p95,40.0,200.0,50,0.0026285643529205,0.0013499999999999,0.00882,0.0157195083176939,smocc,p95
smocc_p95,60.0,200.0,50,0.0019538418450236,0.0010299540623263,0.0067625,0.0111875547234467,smocc,p95
smocc_p95,120.0,200.0,50,0.0010728649292405,0.0008005142143048,0.0030775,0.0083387094819906,smocc,p95
smocc_p95,200.0,200.0,50,0.0,0.0,0.0,0.0,smocc,p95
smocc_ewma,5.0,200.0,50,0.0340336737747443,0.0159866459509565,0.1257444632251105,0.2253415689491147,smocc,ewma
smocc_ewma,10.0,200.0,50,0.0191914380156499,0.0104583123302525,0.0591542570752478,0.133675538781165,smocc,ewma
smocc_ewma,20.0,200.0,50,0.0096437683150552,0.0054077507025716,0.033447382173183,0.0617476992242238,smocc,ewma
smocc_ewma,30.0,200.0,50,0.0086824987988542,0.0037037687851175,0.0303981239613594,0.05924512270456,smocc,ewma
smocc_ewma,40.0,200.0,50,0.0076016645646312,0.0037247306675867,0.0287979743699885,0.0520425054547511,smocc,ewma
smocc_ewma,60.0,200.0,50,0.0062262268742356,0.0025795595676384,0.0285130560474035,0.0431736891458411,smocc,ewma
smocc_ewma,120.0,200.0,50,0.0051024919036663,0.0024306532825001,0.0223801546145574,0.0404143444013141,smocc,ewma
smocc_ewma,200.0,200.0,50,0.0,0.0,0.0,0.0,smocc,ewma
smocc_risk,5.0,200.0,50,0.0350596976734856,0.0128534430558252,0.1241362127047213,0.1737243958158657,smocc,risk
smocc_risk,10.0,200.0,50,0.0148362080128924,0.0087390992053326,0.0429997318686815,0.0777528238145702,smocc,risk
smocc_risk,20.0,200.0,50,0.0063637559080388,0.0045069719068063,0.0204859903032045,0.0383443845575094,smocc,risk
smocc_risk,30.0,200.0,50,0.004571638695975,0.0023098506507869,0.0134009872285154,0.0281035577493702,smocc,risk
smocc_risk,40.0,200.0,50,0.0041181441013485,0.0029451572132617,0.0118588869266999,0.0263140977572554,smocc,risk
smocc_risk,60.0,200.0,50,0.0031043381631371,0.0016619788581665,0.0090509802740384,0.0224097762099876,smocc,risk
smocc_risk,120.0,200.0,50,0.0020836878990413,0.0013260354830302,0.0074496174704823,0.015563083774924,smocc,risk
smocc_risk,200.0,200.0,50,0.0,0.0,0.0,0.0,smocc,risk
drama_mean,5.0,200.0,50,0.039370580856398,0.0142731291333101,0.1309575,0.2028009790451515,drama,mean
drama_mean,10.0,200.0,50,0.0202717206832378,0.0087378171085128,0.0672852575376884,0.1274103312578338,drama,mean
drama_mean,20.0,200.0,50,0.0108481141392658,0.0063670437604139,0.0326090769821328,0.0814720590127684,drama,mean
drama_mean,30.0,200.0,50,0.0067351530470806,0.0038085953636522,0.0205038275089605,0.0587535077116789,drama,mean
drama_mean,40.0,200.0,50,0.0048391138309237,0.0025692236718921,0.0149186047682459,0.043218445477701,drama,mean
