workload_id,run_id,spec_path,source_gpu_count,gpu_label,training_loop_time_s,end_to_end_time_s,exit_code,gpu_memory_requirement_mib,faketensor_estimate,gpu_memory_peak_mib_peak_200s,gpu_memory_peak_mib_peak_full,gputl_max_200s,gputl_max_full,gputl_mean_200s,gputl_mean_full,gputl_median_200s,gputl_median_full,horus_oracle_util_full,horus_profile_util_200s,horus_oracle_util_median_full,horus_profile_util_median_200s,horus_oracle_util_max_full,horus_profile_util_max_200s,horus_oracle_memory_full_mib,horus_profile_memory_200s_mib,horus_oracle_util_source,horus_abs_error_200s_vs_full_util,horus_relative_error_200s_vs_full_util
mobilenet_cifar100_bs64_50e_1gpu,2026-05-01_05-11-15_2f594179,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_50e_1gpu.yaml,1,single,966.53,969.78,0,598.0,0.0253,602.0,602.0,47.0,48.0,29.29230769230769,31.861464968152863,27.5,36.0,31.861464968152863,29.29230769230769,36.0,27.5,48.0,47.0,602.0,602.0,gputl_mean_full,2.5691572758451713,0.08063525259786934
mobilenet_imagenet_bs128_1gpu,2026-05-01_05-27-30_eff95151,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,1,single,1548.6,1552.79,0,11336.0,9.4591,11598.0,11602.0,86.0,86.0,63.38518518518519,64.15229885057471,69.0,70.0,64.15229885057471,63.38518518518519,70.0,69.0,86.0,86.0,11602.0,11598.0,gputl_mean_full,0.7671136653895161,0.011957695657583499
mobilenet_imagenet_bs32_1gpu,2026-05-01_05-53-28_be74790b,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,1,single,1666.15,1670.26,0,3352.0,2.3684,3354.0,3356.0,75.0,75.0,64.76296296296296,63.46524064171123,66.0,65.0,63.46524064171123,64.76296296296296,65.0,66.0,75.0,75.0,3356.0,3354.0,gputl_mean_full,1.297722321251726,0.020447764920295985
mobilenet_imagenet_bs64_1gpu,2026-05-01_06-21-24_05adeecb,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs64_1gpu.yaml,1,single,1536.12,1540.34,0,6032.0,4.732,6162.0,6164.0,79.0,79.0,65.18518518518519,65.80289855072463,73.0,73.0,65.80289855072463,65.18518518518519,73.0,73.0,79.0,79.0,6164.0,6162.0,gputl_mean_full,0.6177133655394442,0.009387327597176824
resnet18_cifar100_bs128_20e_1gpu,2026-05-01_06-47-09_276041f2,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs128_20e_1gpu.yaml,1,single,124.92,128.09,0,858.0,0.0911,852.0,852.0,49.0,49.0,33.54022988505747,33.54022988505747,38.0,38.0,33.54022988505747,33.54022988505747,38.0,38.0,49.0,49.0,852.0,852.0,gputl_mean_full,0.0,0.0
resnet18_cifar100_bs128_50e_1gpu,2026-05-01_06-49-23_0a98d914,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs128_50e_1gpu.yaml,1,single,303.77,306.79,0,858.0,0.0911,852.0,852.0,54.0,56.0,34.54814814814815,35.256038647343,38.0,39.0,35.256038647343,34.54814814814815,39.0,38.0,56.0,54.0,852.0,852.0,gputl_mean_full,0.7078904991948463,0.020078560336165136
resnet18_cifar100_bs32_20e_1gpu,2026-05-01_06-54-35_a2b2e9d4,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_20e_1gpu.yaml,1,single,460.29,463.31,0,788.0,0.0527,790.0,790.0,55.0,61.0,35.84848484848485,36.06907894736842,38.0,38.0,36.06907894736842,35.84848484848485,38.0,38.0,61.0,55.0,790.0,790.0,gputl_mean_full,0.2205940988835664,0.006115878345700336
resnet18_cifar100_bs32_50e_1gpu,2026-05-01_07-02-24_fabbfa65,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs32_50e_1gpu.yaml,1,single,1147.33,1150.33,0,788.0,0.0527,790.0,790.0,60.0,60.0,35.57575757575758,36.17483443708609,38.0,38.0,36.17483443708609,35.57575757575758,38.0,38.0,60.0,60.0,790.0,790.0,gputl_mean_full,0.5990768613285127,0.01656059718449865
resnet18_cifar100_bs64_20e_1gpu,2026-05-01_07-21-40_dc196945,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs64_20e_1gpu.yaml,1,single,239.16,242.17,0,796.0,0.0652,798.0,798.0,60.0,60.0,34.090225563909776,34.31055900621118,37.0,37.0,34.31055900621118,34.090225563909776,37.0,37.0,60.0,60.0,798.0,798.0,gputl_mean_full,0.22033344230140273,0.006421738633331977
resnet18_cifar100_bs64_50e_1gpu,2026-05-01_07-25-48_cbc5774e,/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/resnet18_cifar100_bs64_50e_1gpu.yaml,1,single,600.67,603.72,0,796.0,0.0652,798.0,798.0,46.0,59.0,34.31578947368421,34.26,37.0,37.0,34.26,34.31578947368421,37.0,37.0,59.0,46.0,798.0,798.0,gputl_mean_full,0.055789473684214386,0.0016284142931761352
