telemetry_file,gpu_id,energy_column,energy_start_raw,energy_end_raw,energy_delta_raw,energy_delta_j,start_sample_time_s,end_sample_time_s,trace,policy,raw_label,experiment_name,run_dir
evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds/20260705-091245/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,1,energy,16639991018.0,24435124593.0,7795133575.0,7795133575.0,77988.08201862,110810.915533509,saturn,aegis_magm_no_thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds
evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds/20260705-091245/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,3,energy,15770204428.0,23531441788.0,7761237360.0,7761237360.0,77988.08201862,110810.915533509,saturn,aegis_magm_no_thresholds,aegis_magm_no_thresholds,runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__saturn__rep01__or_magm_no_thresholds
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,0,energy,16780708718.0,25641041469.0,8860332751.0,8860332751.0,69994.884996934,103555.441160688,saturn,aegis_magm_thresholded,aegis_magm_thresholded,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,1,energy,15611296765.0,23331943450.0,7720646685.0,7720646685.0,69994.884996934,103555.441160688,saturn,aegis_magm_thresholded,aegis_magm_thresholded,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free
evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free/20260618-042005/OR-MAGM/runtime/telemetry/dcgmi_metrics.csv,3,energy,15514801214.0,22826704486.0,7311903272.0,7311903272.0,69994.884996934,103555.441160688,saturn,aegis_magm_thresholded,aegis_magm_thresholded,final_representative_evaluation__saturn__rep01__aegis_estimator_free,evaluation/experiments/results/final_representative_evaluation__saturn__rep01__aegis_estimator_free
evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive/runtime/telemetry/dcgmi_metrics.csv,0,energy,15936159.0,10036362732.0,10020426573.0,10020426573.0,338.222788046,45095.00718602,venus,Exclusive,exclusive,final_representative_evaluation__venus__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive
evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive/runtime/telemetry/dcgmi_metrics.csv,1,energy,16331875.0,9145603844.0,9129271969.0,9129271969.0,338.222788046,45095.00718602,venus,Exclusive,exclusive,final_representative_evaluation__venus__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive
evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive/20260620-144011/exclusive/runtime/telemetry/dcgmi_metrics.csv,3,energy,16843049.0,8153723392.0,8136880343.0,8136880343.0,338.222788046,45095.00718602,venus,Exclusive,exclusive,final_representative_evaluation__venus__rep01__exclusive,evaluation/experiments/results/final_representative_evaluation__venus__rep01__exclusive
evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,0,energy,41785008249.0,49815287707.0,8030279458.0,8030279458.0,181089.048820093,214806.967352677,venus,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds
evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds/20260706-135105/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,1,energy,40449315428.0,48216046544.0,7766731116.0,7766731116.0,181089.048820093,214806.967352677,venus,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__venus__rep01__or_lug_no_thresholds
