trace,policy,raw_label,experiment_name,telemetry_file,metric,column,stat,value
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,smact,smact,max,0.999
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,smocc,smocc,mean,0.2621181863573106
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,smocc,smocc,p50,0.318
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,smocc,smocc,p95,0.589
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,smocc,smocc,max,0.665
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,drama,drama,mean,0.3229853502034399
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,drama,drama,p50,0.312
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,drama,drama,p95,0.557
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,drama,drama,max,0.65
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,power,power,mean,230.59568346240877
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,power,power,p50,269.276
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,power,power,p95,295.224
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/dcgmi_metrics.csv,power,power,max,317.418
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/top_data.csv,gpu_memory,total_memory,mean,515.7960000000003
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/top_data.csv,gpu_memory,total_memory,p50,515.796
philly,aegis_lug_no_thresholds,aegis_lug_no_thresholds,runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds,evaluation/experiments/results/runtime_pressure_no_thresholds_timeout720__philly__rep01__or_lug_no_thresholds/20260704-234622/OR-LUG/runtime/telemetry/top_data.csv,gpu_memory,total_memory,p95,515.796
